Player,Season,VAC_288,VAC_SO,Bias_288,Bias_SO,Sensitivity_288,Sensitivity_SO
Trevor Bauer,2016,0.3693,0.7268,0.2204,0.1272,0.3197,0.6549
Trevor Bauer,2017,0.4531,0.8433,0.1569,0.0671,0.4074,0.7492
Trevor Bauer,2018,0.5588,0.8519,0.1165,0.0215,0.4529,0.8268
Trevor Bauer,2019,0.5437,0.8351,0.1141,0.0168,0.4639,0.7998
Joba Chamberlain,2019,0.4641,0.7324,0.0619,0.0458,0.1027,0.5199
Ross Detwiler,2018,0.7178,0.5998,-0.1841,-0.1143,0.2536,0.6236
Ross Detwiler,2019,0.2316,0.8475,-0.154,-0.0418,0.2856,0.8072
Jeff Manship,2019,0.3461,0.5361,-0.7601,-0.4484,0.0971,0.6925
Corey Kluber,2016,0.5536,0.8807,-0.4102,-0.0767,0.385,0.8837
Corey Kluber,2017,0.6521,0.9421,-0.1838,-0.0299,0.5535,0.941
Corey Kluber,2018,0.6706,0.9263,-0.1453,-0.0529,0.5706,0.9011
Corey Kluber,2019,0.6844,0.9303,-0.1332,-0.0499,0.5853,0.9061
Sean Doolittle,2016,0.6795,0.5746,0.4557,0.146,0.1792,0.7971
Sean Doolittle,2017,0.5597,0.6624,0.4542,0.0836,0.1629,0.8847
Sean Doolittle,2018,0.4651,0.6564,0.4822,0.1225,0.1446,0.8429
Sean Doolittle,2019,0.443,0.6326,0.4901,0.1544,0.138,0.7992
David Robertson,2016,0.2349,0.7404,0.2138,0.0879,0.1292,0.7536
David Robertson,2017,0.3302,0.7771,0.1146,0.03,0.1715,0.8206
David Robertson,2018,0.3459,0.7595,0.0361,0.0206,0.1903,0.7483
David Robertson,2019,0.3471,0.7577,0.0387,0.0196,0.1911,0.7413
Nate Jones,2016,0.321,0.8018,-0.3389,-0.2081,0.2403,0.9761
Nate Jones,2017,0.8643,0.941,-0.0558,-0.076,0.3213,1.1021
Nate Jones,2018,0.8705,0.958,-0.0269,-0.0414,0.3141,1.1243
Nate Jones,2019,0.8705,0.9532,-0.0141,-0.0629,0.3155,1.0951
Ryan Madson,2016,0.323,0.6544,0.2896,0.1317,0.1311,0.7148
Ryan Madson,2017,0.285,0.6021,0.2442,0.0897,0.1214,0.6644
