Year,Launch_Angle_(Deg),Hits,BBE,AVG,wOBA,1B,2B,3B,HR,1B_percentage,2B_percentage,3B_percentage,HR_percentage
2015,-89,0,2,0,0,0,0,0,0,0,0,0,0
2015,-87,0,1,0,0,0,0,0,0,0,0,0,0
2015,-85,0,2,0,0,0,0,0,0,0,0,0,0
2015,-83,1,6,0.167,0.15,1,0,0,0,16.7,0,0,0
2015,-82,0,3,0,0,0,0,0,0,0,0,0,0
2015,-81,1,6,0.167,0.3,1,0,0,0,16.7,0,0,0
2015,-80,0,2,0,0,0,0,0,0,0,0,0,0
2015,-79,0,7,0,0,0,0,0,0,0,0,0,0
2015,-78,0,10,0,0,0,0,0,0,0,0,0,0
2015,-77,1,6,0.167,0.15,1,0,0,0,16.7,0,0,0
2015,-76,1,12,0.083,0.075,1,0,0,0,8.3,0,0,0
2015,-75,1,4,0.25,0.45,1,0,0,0,25,0,0,0
2015,-74,2,13,0.154,0.208,2,0,0,0,15.4,0,0,0
2015,-73,1,10,0.1,0.09,1,0,0,0,10,0,0,0
2015,-72,4,18,0.222,0.2,4,0,0,0,22.2,0,0,0
2015,-71,2,10,0.2,0.18,2,0,0,0,20,0,0,0
2015,-70,4,16,0.25,0.225,4,0,0,0,25,0,0,0
2015,-69,0,13,0,0,0,0,0,0,0,0,0,0
2015,-68,3,19,0.158,0.142,3,0,0,0,15.8,0,0,0
2015,-67,6,25,0.24,0.252,6,0,0,0,24,0,0,0
2015,-66,7,30,0.233,0.24,7,0,0,0,23.3,0,0,0
2015,-65,5,33,0.152,0.136,5,0,0,0,15.2,0,0,0
2015,-64,4,36,0.111,0.1,4,0,0,0,11.1,0,0,0
2015,-63,7,26,0.269,0.256,6,1,0,0,23.1,3.8,0,0
2015,-62,8,36,0.222,0.225,8,0,0,0,22.2,0,0,0
2015,-61,4,37,0.108,0.122,4,0,0,0,10.8,0,0,0
2015,-60,11,35,0.314,0.283,11,0,0,0,31.4,0,0,0
2015,-59,7,40,0.175,0.248,7,0,0,0,17.5,0,0,0
2015,-58,5,39,0.128,0.138,5,0,0,0,12.8,0,0,0
2015,-57,7,50,0.14,0.144,7,0,0,0,14,0,0,0
2015,-56,11,59,0.186,0.259,11,0,0,0,18.6,0,0,0
2015,-55,5,57,0.088,0.079,5,0,0,0,8.8,0,0,0
2015,-54,3,55,0.055,0.082,3,0,0,0,5.5,0,0,0
2015,-53,16,73,0.219,0.234,16,0,0,0,21.9,0,0,0
2015,-52,5,69,0.072,0.143,5,0,0,0,7.2,0,0,0
2015,-51,14,75,0.187,0.209,13,1,0,0,17.3,1.3,0,0
2015,-50,9,84,0.107,0.107,9,0,0,0,10.7,0,0,0
2015,-49,18,103,0.175,0.175,18,0,0,0,17.5,0,0,0
2015,-48,7,91,0.077,0.069,7,0,0,0,7.7,0,0,0
2015,-47,20,125,0.16,0.18,20,0,0,0,16,0,0,0
2015,-46,10,114,0.088,0.111,10,0,0,0,8.8,0,0,0
2015,-45,21,147,0.143,0.159,21,0,0,0,14.3,0,0,0
2015,-44,11,144,0.076,0.084,10,1,0,0,6.9,0.7,0,0
2015,-43,12,141,0.085,0.101,11,0,1,0,7.8,0,0.7,0
2015,-42,15,159,0.094,0.115,14,1,0,0,8.8,0.6,0,0
2015,-41,22,202,0.109,0.134,22,0,0,0,10.9,0,0,0
2015,-40,16,172,0.093,0.099,16,0,0,0,9.3,0,0,0
2015,-39,16,173,0.092,0.116,15,1,0,0,8.7,0.6,0,0
2015,-38,8,213,0.038,0.051,8,0,0,0,3.8,0,0,0
2015,-37,16,229,0.07,0.092,15,1,0,0,6.6,0.4,0,0
2015,-36,16,230,0.07,0.09,16,0,0,0,7,0,0,0
2015,-35,18,235,0.077,0.106,14,4,0,0,6,1.7,0,0
2015,-34,19,285,0.067,0.081,17,2,0,0,6,0.7,0,0
2015,-33,25,308,0.081,0.085,25,0,0,0,8.1,0,0,0
2015,-32,20,332,0.06,0.079,17,3,0,0,5.1,0.9,0,0
2015,-31,26,350,0.074,0.094,25,1,0,0,7.1,0.3,0,0
2015,-30,19,391,0.049,0.063,18,1,0,0,4.6,0.3,0,0
2015,-29,28,472,0.059,0.078,26,2,0,0,5.5,0.4,0,0
2015,-28,41,465,0.088,0.099,36,5,0,0,7.7,1.1,0,0
2015,-27,40,530,0.075,0.099,39,1,0,0,7.4,0.2,0,0
2015,-26,42,522,0.08,0.102,34,8,0,0,6.5,1.5,0,0
2015,-25,48,541,0.089,0.115,43,5,0,0,7.9,0.9,0,0
2015,-24,65,633,0.103,0.116,61,4,0,0,9.6,0.6,0,0
2015,-23,55,674,0.082,0.097,50,5,0,0,7.4,0.7,0,0
2015,-22,83,712,0.117,0.132,74,9,0,0,10.4,1.3,0,0
2015,-21,77,774,0.099,0.109,75,2,0,0,9.7,0.3,0,0
2015,-20,84,761,0.11,0.129,77,7,0,0,10.1,0.9,0,0
2015,-19,110,887,0.124,0.14,102,8,0,0,11.5,0.9,0,0
2015,-18,101,950,0.106,0.12,93,8,0,0,9.8,0.8,0,0
2015,-17,119,924,0.129,0.137,117,2,0,0,12.7,0.2,0,0
2015,-16,150,999,0.15,0.17,138,11,1,0,13.8,1.1,0.1,0
2015,-15,147,1058,0.139,0.167,137,10,0,0,12.9,0.9,0,0
2015,-14,176,1127,0.156,0.174,165,10,1,0,14.6,0.9,0.1,0
2015,-13,183,1189,0.154,0.158,165,17,0,1,13.9,1.4,0,0.1
2015,-12,220,1261,0.174,0.176,206,13,1,0,16.3,1,0.1,0
2015,-11,234,1299,0.18,0.194,212,21,1,0,16.3,1.6,0.1,0
2015,-10,242,1260,0.192,0.204,217,24,1,0,17.2,1.9,0.1,0
2015,-9,282,1393,0.202,0.21,258,23,1,0,18.5,1.7,0.1,0
2015,-8,332,1457,0.228,0.238,304,25,3,0,20.9,1.7,0.2,0
2015,-7,371,1521,0.244,0.249,347,21,3,0,22.8,1.4,0.2,0
2015,-6,439,1639,0.268,0.267,406,31,2,0,24.8,1.9,0.1,0
2015,-5,462,1642,0.281,0.278,415,43,4,0,25.3,2.6,0.2,0
2015,-4,498,1665,0.299,0.301,447,50,1,0,26.8,3,0.1,0
2015,-3,504,1571,0.321,0.324,462,40,2,0,29.4,2.5,0.1,0
2015,-2,522,1559,0.335,0.334,476,42,4,0,30.5,2.7,0.3,0
2015,-1,579,1628,0.356,0.35,531,44,4,0,32.6,2.7,0.2,0
2015,0,655,1734,0.378,0.374,590,59,6,0,34,3.4,0.3,0
2015,1,713,1758,0.406,0.404,638,67,8,0,36.3,3.8,0.5,0
2015,2,771,1783,0.432,0.429,693,74,4,0,38.9,4.2,0.2,0
2015,3,847,1868,0.453,0.443,760,85,2,0,40.7,4.6,0.1,0
2015,4,880,1767,0.498,0.489,782,92,6,0,44.3,5.2,0.3,0
2015,5,962,1891,0.509,0.491,858,100,4,0,45.4,5.3,0.2,0
2015,6,924,1710,0.54,0.523,810,106,8,0,47.4,6.2,0.5,0
2015,7,1027,1871,0.549,0.526,894,128,5,0,47.8,6.8,0.3,0
2015,8,1105,1858,0.595,0.57,965,128,12,0,51.9,6.9,0.6,0
2015,9,1287,1875,0.686,0.667,1073,203,11,0,57.2,10.8,0.6,0
2015,10,1423,1915,0.743,0.723,1166,243,14,0,60.9,12.7,0.7,0
2015,11,1416,1829,0.774,0.758,1138,253,25,0,62.2,13.8,1.4,0
2015,12,1511,1880,0.804,0.795,1163,320,28,0,61.9,17,1.5,0
