,algorithm,predicting,accuracy,precision,recall,F1,city
0,logistic_regression,citations,0.7856,0.7377,0.7856,0.7003,nashville
1,logistic_regression,frisks,0.9798,0.9599,0.9798,0.9697,nashville
2,logistic_regression,searches,0.9583,0.9195,0.9583,0.938,nashville
3,logistic_regression,contraband,0.9914,0.9828,0.9914,0.9871,nashville
4,random_forest,citations,0.852,0.8442,0.852,0.8352,nashville
5,random_forest,frisks,0.9796,0.9675,0.9796,0.9697,nashville
6,random_forest,searches,0.9602,0.9557,0.9602,0.9432,nashville
7,random_forest,contraband,0.9915,0.9893,0.9915,0.9873,nashville
8,adaboost,citations,0.8041,0.7831,0.8041,0.7552,nashville
9,adaboost,frisks,0.9794,0.9662,0.9794,0.9693,nashville
10,adaboost,searches,0.9592,0.951,0.9592,0.9402,nashville
11,adaboost,contraband,0.9915,0.9832,0.9915,0.9873,nashville
12,multilayer_perceptron,citations,0.8112,0.7887,0.8112,0.7809,nashville
13,multilayer_perceptron,frisks,0.9795,0.9676,0.9795,0.9693,nashville
14,multilayer_perceptron,searches,0.9587,0.9408,0.9587,0.9388,nashville
15,multilayer_perceptron,contraband,0.9915,0.9832,0.9915,0.9873,nashville
16,logistic_regression,citations,0.7525,0.7168,0.7525,0.711,new_orleans
17,logistic_regression,frisks,0.9358,0.9334,0.9358,0.9342,new_orleans
18,logistic_regression,searches,0.9999,0.9999,0.9999,0.9999,new_orleans
19,logistic_regression,contraband,0.9691,0.9508,0.9691,0.9570000000000001,new_orleans
20,random_forest,citations,0.8423,0.8352,0.8423,0.8353,new_orleans
21,random_forest,frisks,0.9629,0.9640000000000001,0.9629,0.9634,new_orleans
22,random_forest,searches,1.0,1.0,1.0,1.0,new_orleans
23,random_forest,contraband,0.9786,0.9753,0.9786,0.9744,new_orleans
24,adaboost,citations,0.789,0.7729,0.789,0.7749,new_orleans
25,adaboost,frisks,0.9478,0.9484,0.9478,0.948,new_orleans
26,adaboost,searches,1.0,1.0,1.0,1.0,new_orleans
27,adaboost,contraband,0.9733,0.9659,0.9733,0.9665,new_orleans
28,multilayer_perceptron,citations,0.8055,0.7966,0.8055,0.7994,new_orleans
29,multilayer_perceptron,frisks,0.9517,0.9521,0.9517,0.9519,new_orleans
30,multilayer_perceptron,searches,1.0,1.0,1.0,1.0,new_orleans
31,multilayer_perceptron,contraband,0.9722,0.9667,0.9722,0.9686,new_orleans
