algorithm,predicting,accuracy,precision,recall,F1
logistic_regression,citations,0.7856,0.7377,0.7856,0.7003
logistic_regression,frisks,0.9798,0.9599,0.9798,0.9697
logistic_regression,searches,0.9583,0.9195,0.9583,0.938
logistic_regression,contraband,0.9914,0.9828,0.9914,0.9871
random_forest,citations,0.852,0.8442,0.852,0.8352
random_forest,frisks,0.9796,0.9675,0.9796,0.9697
random_forest,searches,0.9602,0.9557,0.9602,0.9432
random_forest,contraband,0.9915,0.9893,0.9915,0.9873
adaboost,citations,0.8041,0.7831,0.8041,0.7552
adaboost,frisks,0.9794,0.9662,0.9794,0.9693
adaboost,searches,0.9592,0.951,0.9592,0.9402
adaboost,contraband,0.9915,0.9832,0.9915,0.9873
multilayer_perceptron,citations,0.8112,0.7887,0.8112,0.7809
multilayer_perceptron,frisks,0.9795,0.9676,0.9795,0.9693
multilayer_perceptron,searches,0.9587,0.9408,0.9587,0.9388
multilayer_perceptron,contraband,0.9915,0.9832,0.9915,0.9873
